longitude,latitude,height,gravity
135.976261,-25.838535,121.725,978969.4650000001
128.027737,-25.76483,565.365,978847.345
128.102711,-25.765199,569.93,978834.69
128.15335,-25.788561,557.57,978834.19
128.2562485,-25.772584000000002,580.325,978833.5
128.30603100000002,-25.769985,574.5699999999999,978844.345
128.364652,-25.767374,585.67,978858.5
128.4269515,-25.7670885,574.46,978849.2150000001
128.500849,-25.767236,566.46,978840.38
128.576472,-25.77342,601.09,978832.88
128.625692,-25.7566,598.69,978829.69
128.701686,-25.767688,596.94,978834.38
128.75299,-25.768146,608.89,978831.19
128.82581199999998,-25.7677895,612.275,978838.06
128.899961,-25.767843,617.31,978842.69
128.951035,-25.766728,624.76,978846.69
129.020936,-25.772472999999998,624.88,978849.655
129.11836449999998,-25.7858855,633.48,978850.345
129.161942,-25.750276999999997,634.625,978849.5349999999
129.249616,-25.765030000000003,645.755,978850.5
129.297967,-25.767841500000003,653.155,978848.655
129.3600305,-25.747628499999998,658.505,978844.845
129.438288,-25.7671505,664.6800000000001,978844.44
129.498744,-25.7676565,670.085,978845.94
129.558491,-25.753592,670.6,978847.81
129.627134,-25.765321,669.1500000000001,978847.405
129.697877,-25.7656065,671.5250000000001,978846.31
129.758988,-25.76026,678.38,978842.31
129.839395,-25.746509,672.27,978844.31
129.89881350000002,-25.7648595,684.505,978843.0
129.957873,-25.753588,682.82,978839.81
130.036871,-25.746106,683.27,978828.69
130.0958775,-25.764332500000002,681.69,978820.5349999999
130.156431,-25.745568,680.4,978809.62
130.236182,-25.74698,681.59,978793.62
130.29584949999997,-25.762055,693.79,978784.595
130.358447,-25.746915,703.79,978775.0
130.437065,-25.746914,716.3,978759.69
130.496079,-25.760802499999997,703.78,978756.81
130.5556735,-25.745941000000002,711.06,978751.905
130.637466,-25.747092,684.97,978754.38
130.715054,-25.756911,667.14,978754.62
130.7744005,-25.7590605,656.225,978755.7150000001
130.834567,-25.74525,641.87,978755.12
130.913983,-25.774284,643.005,978753.13
130.948889,-25.7731695,631.7249999999999,978755.2849999999
131.033515,-25.746908,610.01,978760.31
131.092867,-25.7528245,612.71,978758.31
131.155454,-25.746907,596.52,978757.62
131.230252,-25.758291999999997,590.385,978756.5
131.29486500000002,-25.768862,593.665,978753.5349999999
131.38292,-25.763335,603.22,978750.12
131.43701399999998,-25.771865,615.625,978751.06
131.478215,-25.7973945,608.925,978754.25
131.554969,-25.763699,586.32,978756.31
131.6342575,-25.77992,587.02,978757.81
131.700158,-25.764133,574.76,978759.88
131.791347,-25.782192,581.02,978763.5
131.81722150000002,-25.753338499999998,569.255,978763.56
131.910234,-25.763498,566.8299999999999,978771.4650000001
131.981846,-25.773458,560.64,978775.19
132.011413,-25.75767,556.86,978774.38
132.09846499999998,-25.766536,554.62,978772.75
132.18737149999998,-25.7735365,543.275,978772.5
132.210964,-25.760633,545.5450000000001,978771.0
132.306411,-25.763222,545.6,978773.69
132.36665699999998,-25.7720205,545.6700000000001,978776.7849999999
132.421742,-25.764901000000002,539.595,978781.405
132.495992,-25.765065,539.06,978792.38
132.56726,-25.764872,534.76,978793.88
132.648612,-25.772264,533.62,978795.0
132.701138,-25.767787,526.48,978792.19
132.76637549999998,-25.7690035,521.5899999999999,978789.06
132.830911,-25.769523,516.22,978787.38
132.900905,-25.769962,511.49,978787.0
132.970277,-25.763222,522.59,978789.38
133.030532,-25.764139,512.555,978796.44
133.10037899999998,-25.76481,509.20500000000004,978798.62
133.150738,-25.756379,520.82,978795.62
133.240427,-25.748304,522.91,978798.0
133.289969,-25.758065,514.26,978810.88
133.34991,-25.749831,505.28,978817.38
133.4332275,-25.758122,505.46000000000004,978824.31
133.49465800000002,-25.742183500000003,506.995,978824.595
133.564718,-25.7617095,507.0,978831.905
133.6241205,-25.760348,490.06500000000005,978841.31
133.703374,-25.761661500000002,469.06,978853.095
133.76227849999998,-25.762604500000002,442.22,978860.44
133.823707,-25.762963,434.33,978863.7849999999
133.903116,-25.763644499999998,415.33000000000004,978873.44
133.9625415,-25.7639765,413.44,978874.5349999999
134.040763,-25.783064,419.66,978876.81
134.1024995,-25.7589235,395.91999999999996,978887.7849999999
134.1619275,-25.765163,368.565,978896.595
134.216777,-25.748581,350.61,978900.0
134.291361,-25.7692995,330.685,978899.345
134.387775,-25.770219,315.93,978905.62
134.492444,-25.757378,305.52,978914.0
134.5596885,-25.758882,268.655,978924.345
134.659603,-25.778046,241.2,978934.12
134.732942,-25.780716,230.08,978932.88
134.741942,-25.749046,233.27,978930.62
134.805771,-25.773875,217.14,978933.88
134.881271,-25.762714,213.38,978933.5
134.96019,-25.767124000000003,205.79000000000002,978934.405
135.056769,-25.770213,202.41,978938.19
135.114099,-25.779372,200.91,978940.5
135.169598,-25.763607,188.25,978943.44
135.262267,-25.765626,175.79000000000002,978947.345
135.325766,-25.766371,168.69,978950.81
135.398266,-25.76071,157.42,978951.81
135.406766,-25.781869,159.07,978951.69
135.51935,-25.787789,152.66,978949.12
135.57043399999998,-25.781208499999998,149.095,978947.845
135.6287635,-25.762208,143.07,978949.095
135.732932,-25.739367,134.49,978953.0
135.742933,-25.769537,135.67,978955.88
135.859591,-25.755206,134.15,978954.12
135.8737615,-25.790205999999998,127.095,978959.75
135.947931,-25.768205,124.94,978963.69
128.02820150000002,-25.6747735,589.63,978838.75
128.103183,-25.697826,586.15,978835.62
128.153,-25.697002,583.51,978834.0
128.228186,-25.675988,587.37,978831.88
128.302912,-25.698278,588.05,978836.19
128.35406,-25.69847,617.92,978842.31
128.42785,-25.698822,601.21,978833.62
128.501724,-25.700091,575.25,978831.0
128.576709,-25.699559,598.13,978822.62
128.60684,-25.699903,606.72,978820.38
128.700557,-25.7001445,618.145,978822.94
128.762846,-25.699796499999998,621.885,978824.845
128.825499,-25.700017,622.24,978829.5
128.900376,-25.700245,620.67,978836.12
128.974891,-25.700077,625.56,978839.88
129.01982900000002,-25.7066385,626.94,978847.0
129.10023,-25.695846500000002,633.96,978848.44
129.18600600000002,-25.70004,637.52,978849.19
129.224436,-25.706914,643.4,978849.69
129.299499,-25.695329,644.7349999999999,978848.44
129.3797645,-25.696089999999998,658.98,978845.2849999999
129.43795599999999,-25.696093,662.435,978845.06
129.4971745,-25.6942065,668.065,978844.37
129.5772835,-25.694861500000002,678.14,978842.095
129.641617,-25.697350999999998,676.1800000000001,978842.655
129.6971785,-25.6937755,684.1,978840.2150000001
129.777994,-25.694008,683.505,978838.095
129.836553,-25.6937075,677.02,978839.31
129.897691,-25.693061,687.29,978833.06
129.97630850000002,-25.692244000000002,690.48,978823.94
130.0360045,-25.691777000000002,688.49,978815.7150000001
130.095769,-25.6918495,688.54,978808.37
130.176082,-25.6911515,696.335,978794.69
130.2358865,-25.6926805,708.37,978783.345
130.294899,-25.6900555,683.615,978781.75
130.374879,-25.690165999999998,678.45,978773.845
130.43417,-25.687825,716.0050000000001,978760.56
130.49370950000002,-25.688843,690.94,978761.38
130.5729495,-25.6879765,674.0899999999999,978761.31
130.6349095,-25.698722,670.72,978758.9650000001
130.697415,-25.726891,655.5,978759.0
130.766985,-25.72221,637.38,978756.81
130.83435550000002,-25.7005355,629.76,978757.655
130.921721,-25.702267499999998,619.595,978756.31
130.941333,-25.692359,605.94,978757.69
131.032691,-25.700638,597.82,978758.0
131.091948,-25.7002245,596.06,978759.0349999999
131.17165599999998,-25.6980405,580.615,978758.595
131.216816,-25.698600499999998,578.825,978756.25
131.2945745,-25.715788500000002,578.395,978756.595
131.38955499999997,-25.72137,582.97,978756.595
131.432911,-25.724215,586.6,978753.31
131.500619,-25.711694,577.8,978754.31
131.565089,-25.708653,574.52,978754.38
131.6314955,-25.720198,572.325,978754.595
131.70944500000002,-25.719827,563.545,978759.63
131.756957,-25.692752,553.25,978755.38
131.82212600000003,-25.703301000000003,554.245,978753.655
131.9119415,-25.699554,553.3399999999999,978755.94
131.972268,-25.700343,547.98,978759.12
132.010262,-25.702527,547.58,978760.69
132.103094,-25.718239,544.98,978763.0
132.17003,-25.715238,537.63,978763.62
132.2302085,-25.723018000000003,536.395,978763.81
132.304513,-25.710747,530.88,978766.69
132.36894999999998,-25.716415,532.16,978769.88
132.432692,-25.722966,532.25,978772.38
132.51064100000002,-25.723665,528.855,978786.155
132.565346,-25.723965,527.97,978781.69
132.640205,-25.724114,524.5899999999999,978786.31
132.702367,-25.714015,518.71,978784.38
132.765534,-25.7150165,511.36,978785.44
132.835688,-25.707008,506.8,978785.62
132.909488,-25.707327,493.625,978787.0
132.961931,-25.702961,506.68,978785.31
133.0321,-25.7005805,497.20500000000004,978790.905
133.1017175,-25.701619,496.565,978795.94
133.170774,-25.702256,515.175,978793.25
133.230998,-25.702701,504.72,978794.81
133.300757,-25.6994865,490.31,978799.0
133.360716,-25.695825,488.39,978807.81
133.43920400000002,-25.700555,495.61,978816.19
133.495282,-25.696979,488.83,978823.19
133.559836,-25.679748,481.525,978824.5
133.63000449999998,-25.680331,464.29,978829.06
133.679959,-25.680414,444.59,978836.12
133.764829,-25.708397,425.68,978855.12
133.83628,-25.708114,408.57,978857.69
133.90437,-25.691977,396.68,978864.0349999999
133.962985,-25.710689,383.36,978874.5
134.037948,-25.709612,411.25,978874.5
134.088607,-25.702221,393.13,978882.0
134.16346,-25.70388,378.82,978890.5
134.241444,-25.70205,359.09,978892.38
134.293605,-25.686379,349.84,978894.5
134.3534445,-25.685384,320.325,978901.13
134.404274,-25.705218,315.5,978908.38
134.51110849999998,-25.713882499999997,311.525,978916.7849999999
134.587443,-25.701547,281.29,978920.31
134.617943,-25.721877,259.77,978925.38
134.67235699999998,-25.706961,287.565,978920.06
134.753601,-25.708875,254.8,978923.88
134.82894,-25.675545,233.36,978923.62
134.89797,-25.700214,227.15,978927.62
134.994939,-25.686128,211.4,978932.56
135.055439,-25.699873,203.14,978936.31
135.12386800000002,-25.698042,200.41,978937.19
135.183217,-25.702892,192.07,978940.25
135.25078100000002,-25.705621,183.425,978943.5
135.306681,-25.690541,184.225,978941.9650000001
135.506264,-25.702789000000003,150.39499999999998,978947.155
135.611263,-25.703538,144.20999999999998,978945.94
135.720432,-25.699372,134.76,978950.2849999999
135.83126099999998,-25.701621,132.485,978953.06
135.917925,-25.697955,133.94,978953.06
128.0292845,-25.6298475,580.225,978842.345
128.103141,-25.62956,589.59,978834.19
128.154653,-25.63057,602.07,978828.81
128.22846049999998,-25.630975499999998,582.935,978832.56
128.302825,-25.630508,593.46,978833.0
128.352991,-25.632353,586.38,978831.69
128.4280465,-25.6315615,585.945,978817.655
128.501711,-25.631685,584.91,978811.69
128.563603,-25.631931,588.35,978811.37
128.60585500000002,-25.6323805,594.69,978810.155
128.700569,-25.632458,625.62,978804.69
128.751613,-25.632717,632.15,978810.12
128.825897,-25.6330545,636.2249999999999,978814.155
128.900733,-25.632749,625.42,978820.62
128.957987,-25.63343,630.12,978827.0
129.001038,-25.633608,631.94,978829.31
129.080768,-25.606556,642.75,978828.88
129.194416,-25.6491395,645.63,978843.38
129.207216,-25.629774,661.34,978838.31
129.296698,-25.623734,662.7449999999999,978835.155
129.358022,-25.640935,667.42,978834.69
129.440684,-25.63982,673.3,978834.0
129.4987055,-25.622611,676.31,978831.5
129.558456,-25.641407,686.85,978830.62
129.6440045,-25.642859,688.45,978835.62
129.694842,-25.6413245,691.99,978831.62
129.7563545,-25.616813999999998,700.14,978825.81
129.836814,-25.639126,699.02,978827.88
129.8968735,-25.6196355,704.51,978817.63
129.95678,-25.6365,697.41,978811.69
130.037188,-25.637991,706.63,978803.5
130.09603850000002,-25.618784,691.35,978794.9650000001
130.15596599999998,-25.638301,705.415,978784.75
130.262978,-25.661915,691.98,978781.0
130.281211,-25.635584,677.89,978778.31
130.356751,-25.635587,654.825,978775.655
130.44684999999998,-25.642405,668.8050000000001,978770.655
130.49313,-25.633771,660.3050000000001,978770.31
130.577845,-25.629712,650.15,978769.0
130.622545,-25.648112,656.41,978765.0
130.713074,-25.631947,628.43,978762.62
130.77364,-25.631527,617.52,978764.0
130.832785,-25.64941,614.35,978763.19
130.91331,-25.661999,603.46,978760.31
130.958592,-25.636119,594.84,978759.0
131.032036,-25.636908,587.02,978761.88
131.0916885,-25.646321,581.345,978764.155
131.19297,-25.625906,566.43,978768.0
131.206376,-25.6532215,571.535,978761.69
131.290184,-25.6416925,566.45,978761.75
131.352812,-25.648575,571.17,978760.88
131.42969,-25.648574,552.46,978758.12
131.489794,-25.639457999999998,556.56,978756.9650000001
131.551298,-25.646903,554.38,978759.0
131.657657,-25.6531095,554.6700000000001,978751.7849999999
131.67854649999998,-25.625436999999998,542.92,978763.06
131.789499,-25.631331,539.49,978754.75
